timestamp,home_cooked_meals,junk_food,exercise_minutes,strength_training,no_spending,invested_bitcoin,meditation,gratitude,score
2025-05-21T23:06:41.661011,3,True,50,True,True,True,False,True,45
2025-05-21T23:18:53.659025,2,False,10,True,True,True,True,True,51
2025-05-21T23:24:30.266755,3,False,30,True,True,True,True,True,100
2025-05-21T23:34:03.382213,3,False,60,True,True,True,True,True,100
2025-05-21T23:39:10.536747,3,False,30,True,True,True,False,True,90
2025-05-21T23:40:29.339297,3,False,60,True,True,True,True,True,100
2025-05-22T00:10:25.368140,3,False,60,True,True,True,True,True,100
2025-05-22T08:02:47.486064,3,False,60,True,True,True,True,True,100
2025-05-22T20:50:13.162031,3,False,30,False,True,True,True,True,85
